ORDER_BY_ME,PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
1,Business Hours,Non-Actionable,67,0.567164179
1,Business Hours,Toys and Seasonal,103,-0.533256881
1,Cart Availability,Apparel,49,-0.947463768
1,Cart Availability,Consumables,281,-1.007097792
1,Cart Availability,Dry Grocery,334,-0.949517071
1,Cart Availability,Entertainment,190,-0.874413146
1,Cart Availability,Fresh Foods,1132,-1.109925474
1,Cart Availability,Frozen Foods,92,-0.757575758
1,Cart Availability,Hard Lines,227,-1.164862205
1,Cart Availability,Health & Wellness,349,-1.155092593
1,Cart Availability,Home,554,-0.802512356
1,Cart Availability,Legal,8856,-1.257992317
1,Cart Availability,Marketing,1007,-0.931297259
1,Cart Availability,Non-Actionable,31,0.141129032
1,Cart Availability,Toys and Seasonal,139,-1.073979592
1,Cart Quality,Apparel,47,-0.7975
1,Cart Quality,Consumables,269,-1.062283737
1,Cart Quality,Dry Grocery,361,-1.170925698
1,Cart Quality,Entertainment,146,-0.807453416
1,Cart Quality,Fresh Foods,1151,-1.025638889
1,Cart Quality,Frozen Foods,54,-1.257936508
1,Cart Quality,Hard Lines,281,-0.871453901
1,Cart Quality,Health & Wellness,195,-0.964543269
1,Cart Quality,Home,349,-0.880393401
1,Cart Quality,Legal,2820,-0.865922112
1,Cart Quality,Marketing,898,-0.671163778
1,Cart Quality,Non-Actionable,29,-0.129310345
1,Cart Quality,Toys and Seasonal,68,-0.983455882
1,Checkout Wait Time,Apparel,288,-0.849484256
1,Checkout Wait Time,Consumables,1009,-1.054737493
1,Checkout Wait Time,Dry Grocery,1928,-1.143745233
1,Checkout Wait Time,Entertainment,2292,-1.153212493
1,Checkout Wait Time,Fresh Foods,6437,-1.059119497
1,Checkout Wait Time,Frozen Foods,732,-1.085904702
1,Checkout Wait Time,Hard Lines,1596,-1.093195521
1,Checkout Wait Time,Health & Wellness,6288,-1.264460913
1,Checkout Wait Time,Home,2674,-0.483837561
1,Checkout Wait Time,Legal,1863,-1.188170048
1,Checkout Wait Time,Marketing,7554,-0.928854604
1,Checkout Wait Time,Non-Actionable,451,0.212665929
1,Checkout Wait Time,Toys and Seasonal,1093,-0.725210736
1,Cleanliness,Apparel,166,-0.496413934
1,Cleanliness,Consumables,1142,-0.562360491
1,Cleanliness,Dry Grocery,1028,-0.487347295
1,Cleanliness,Entertainment,477,-0.136320755
1,Cleanliness,Fresh Foods,4522,0.003987112
1,Cleanliness,Frozen Foods,210,-0.425324675
1,Cleanliness,Hard Lines,690,-0.158070012
1,Cleanliness,Health & Wellness,1078,0.238511804
1,Cleanliness,Home,8691,1.143580383
1,Cleanliness,Legal,2186,-0.753160259
1,Cleanliness,Marketing,4634,0.328669532
1,Cleanliness,Non-Actionable,624,2.180188301
1,Cleanliness,Toys and Seasonal,403,0.165876777
1,Communication Skills,Apparel,35,-1.025641026
1,Communication Skills,Consumables,100,-0.834051724
1,Communication Skills,Dry Grocery,176,-0.956163194
1,Communication Skills,Entertainment,181,-0.599716828
1,Communication Skills,Fresh Foods,628,-0.870651294
1,Communication Skills,Frozen Foods,26,-0.958333333
1,Communication Skills,Hard Lines,201,-0.916666667
1,Communication Skills,Health & Wellness,423,-0.437956204
1,Communication Skills,Home,140,-0.599239865
1,Communication Skills,Legal,220,-0.962234043
1,Communication Skills,Marketing,568,-0.86471519
1,Communication Skills,Non-Actionable,24,-0.416666667
1,Communication Skills,Toys and Seasonal,31,-0.921875
1,Condition,Apparel,14,-1.9625
1,Condition,Consumables,38,-0.859756098
1,Condition,Dry Grocery,62,-0.824275362
1,Condition,Entertainment,27,-0.151515152
1,Condition,Fresh Foods,240,-0.703908555
1,Condition,Frozen Foods,9,0.041666667
1,Condition,Hard Lines,79,-0.276785714
1,Condition,Health & Wellness,42,-0.2
1,Condition,Home,152,-0.060405028
1,Condition,Legal,118,-0.95112782
1,Condition,Marketing,242,-0.265151515
1,Condition,Non-Actionable,73,1.981164384
1,Condition,Toys and Seasonal,23,0.84375
1,Coupons,Apparel,35,-0.456081081
1,Coupons,Consumables,571,-0.512317518
1,Coupons,Dry Grocery,563,-0.584670821
1,Coupons,Entertainment,810,-0.648688013
1,Coupons,Fresh Foods,966,-0.58247012
1,Coupons,Frozen Foods,99,-0.411363636
1,Coupons,Hard Lines,309,-0.387142857
1,Coupons,Health & Wellness,309,-0.43458445
1,Coupons,Home,141,-0.494243421
1,Coupons,Legal,268,-0.753617216
1,Coupons,Marketing,3763,-0.273054852
1,Coupons,Non-Actionable,53,-0.08490566
1,Coupons,Toys and Seasonal,55,-0.564327485
1,Design,Apparel,20,-0.793478261
1,Design,Consumables,85,-0.623809524
1,Design,Dry Grocery,108,-0.713709677
1,Design,Entertainment,92,-0.71509009
1,Design,Fresh Foods,344,-0.426997951
1,Design,Frozen Foods,19,-0.263157895
1,Design,Hard Lines,127,-0.653225806
1,Design,Health & Wellness,141,-0.265532544
1,Design,Home,501,-0.084336932
1,Design,Legal,140,-0.598387097
1,Design,Marketing,497,-0.271064815
1,Design,Non-Actionable,64,0.283203125
1,Design,Toys and Seasonal,173,-0.185365854
1,Discounts,Apparel,128,1.090322581
1,Discounts,Consumables,574,0.672048611
1,Discounts,Dry Grocery,797,0.302149964
1,Discounts,Entertainment,2004,1.010772694
1,Discounts,Fresh Foods,2629,0.20496166
1,Discounts,Frozen Foods,138,0.745341615
1,Discounts,Hard Lines,1592,0.396384137
1,Discounts,Health & Wellness,867,0.196829372
1,Discounts,Home,1075,0.697276903
1,Discounts,Legal,260,-0.120362191
1,Discounts,Marketing,22628,0.788341791
1,Discounts,Non-Actionable,198,1.156721106
1,Discounts,Toys and Seasonal,618,0.519442337
1,Ease of Checkout,Apparel,33,-1.216911765
1,Ease of Checkout,Consumables,130,-1.047619048
1,Ease of Checkout,Dry Grocery,239,-1.383426966
1,Ease of Checkout,Entertainment,335,-1.250750231
1,Ease of Checkout,Fresh Foods,720,-1.04292426
1,Ease of Checkout,Frozen Foods,62,-1.553571429
1,Ease of Checkout,Hard Lines,164,-0.947972973
1,Ease of Checkout,Health & Wellness,348,-0.605077121
1,Ease of Checkout,Home,372,-0.136392405
1,Ease of Checkout,Legal,399,-1.58512181
1,Ease of Checkout,Marketing,1031,-0.892345314
1,Ease of Checkout,Non-Actionable,50,0.66
1,Ease of Checkout,Toys and Seasonal,133,-0.760261194
1,Ease of Parking,Apparel,18,-1.444444444
1,Ease of Parking,Consumables,65,-1.095890411
1,Ease of Parking,Dry Grocery,85,-0.697916667
1,Ease of Parking,Entertainment,42,-0.9375
1,Ease of Parking,Fresh Foods,296,-0.84781856
1,Ease of Parking,Frozen Foods,15,-1.308823529
1,Ease of Parking,Hard Lines,101,-0.862394958
1,Ease of Parking,Health & Wellness,202,-0.474358974
1,Ease of Parking,Home,259,-0.476694915
1,Ease of Parking,Legal,1160,-1.479270389
1,Ease of Parking,Marketing,365,-0.808843085
1,Ease of Parking,Non-Actionable,66,-0.526515152
1,Ease of Parking,Toys and Seasonal,63,-1.246031746
1,Exchanges,Apparel,23,-0.387931034
1,Exchanges,Consumables,41,-0.8125
1,Exchanges,Dry Grocery,92,-1.059210526
1,Exchanges,Entertainment,174,-0.832415565
1,Exchanges,Fresh Foods,122,-1.01035503
1,Exchanges,Frozen Foods,11,-1.886363636
1,Exchanges,Hard Lines,149,-0.800318761
1,Exchanges,Health & Wellness,48,-0.464912281
1,Exchanges,Home,273,-1.077209414
1,Exchanges,Legal,60,-1.373076923
1,Exchanges,Marketing,209,-0.765785609
1,Exchanges,Non-Actionable,14,1.089285714
1,Exchanges,Toys and Seasonal,45,-0.716145833
1,Express Lanes,Apparel,16,-0.411764706
1,Express Lanes,Consumables,58,-0.69384058
1,Express Lanes,Dry Grocery,154,-1.029285714
1,Express Lanes,Entertainment,121,-0.747311828
1,Express Lanes,Fresh Foods,301,-0.716644205
1,Express Lanes,Frozen Foods,42,-0.971590909
1,Express Lanes,Hard Lines,51,-0.738425926
1,Express Lanes,Health & Wellness,132,-0.686904762
1,Express Lanes,Home,84,-0.883064516
1,Express Lanes,Legal,128,-0.938931298
1,Express Lanes,Marketing,382,-0.767695473
1,Express Lanes,Non-Actionable,16,0
1,Express Lanes,Toys and Seasonal,62,-0.6640625
1,Features/Functionality,Apparel,78,-0.121905941
1,Features/Functionality,Consumables,220,-0.230769231
1,Features/Functionality,Dry Grocery,282,-0.164325843
1,Features/Functionality,Entertainment,331,-0.134860789
1,Features/Functionality,Fresh Foods,803,0.128926146
1,Features/Functionality,Frozen Foods,52,0.077651515
1,Features/Functionality,Hard Lines,350,-0.061123348
1,Features/Functionality,Health & Wellness,223,0.028492647
1,Features/Functionality,Home,333,0.144329897
1,Features/Functionality,Legal,511,-0.90202606
1,Features/Functionality,Marketing,758,0.248032688
1,Features/Functionality,Non-Actionable,49,1.132653061
1,Features/Functionality,Toys and Seasonal,116,-0.056102362
1,Fees,Apparel,2,0.166666667
1,Fees,Consumables,1,0
1,Fees,Dry Grocery,15,-0.671296296
1,Fees,Entertainment,20,-0.38
1,Fees,Fresh Foods,29,-0.9375
1,Fees,Frozen Foods,2,-2
1,Fees,Hard Lines,38,-0.4375
1,Fees,Health & Wellness,12,0.25
1,Fees,Home,7,-0.285714286
1,Fees,Legal,17,-1.0625
1,Fees,Marketing,61,-0.393192488
1,Fees,Non-Actionable,1,-2
1,Fees,Toys and Seasonal,4,-1.2
1,Financing,Apparel,5,-0.5
1,Financing,Consumables,20,-1.017361111
1,Financing,Dry Grocery,18,0.194444444
1,Financing,Entertainment,308,-0.504861111
1,Financing,Fresh Foods,52,-0.221830986
1,Financing,Frozen Foods,2,-0.5
1,Financing,Hard Lines,138,-0.769303202
1,Financing,Health & Wellness,18,-0.380952381
1,Financing,Home,69,-0.549342105
1,Financing,Legal,46,-0.890625
1,Financing,Marketing,385,-0.51692097
1,Financing,Non-Actionable,19,-0.039473684
1,Financing,Toys and Seasonal,436,-0.487854803
1,Finding Help,Apparel,368,-0.737933168
1,Finding Help,Consumables,1128,-0.77400684
1,Finding Help,Dry Grocery,1162,-0.770155185
1,Finding Help,Entertainment,2713,-0.761503795
1,Finding Help,Fresh Foods,5184,-0.843153614
1,Finding Help,Frozen Foods,271,-0.558554817
1,Finding Help,Hard Lines,4452,-0.950542527
1,Finding Help,Health & Wellness,2272,-0.57979041
1,Finding Help,Home,2589,-0.289635308
1,Finding Help,Legal,2002,-0.870582562
1,Finding Help,Marketing,4770,-0.484995681
1,Finding Help,Non-Actionable,386,0.46875
1,Finding Help,Toys and Seasonal,566,-0.540619765
1,Finding Items,Apparel,343,-0.586124402
1,Finding Items,Consumables,2085,-0.673818027
1,Finding Items,Dry Grocery,2968,-0.804992748
1,Finding Items,Entertainment,2115,-0.51330971
1,Finding Items,Fresh Foods,5961,-0.62396978
1,Finding Items,Frozen Foods,638,-0.700604839
1,Finding Items,Hard Lines,2814,-0.280313351
1,Finding Items,Health & Wellness,1808,-0.40707021
1,Finding Items,Home,4336,0.243452833
1,Finding Items,Legal,991,-0.858150096
1,Finding Items,Marketing,8603,-0.094244553
1,Finding Items,Non-Actionable,597,0.707462375
1,Finding Items,Toys and Seasonal,889,-0.383255934
1,Fitting Rooms,Apparel,72,-0.905196629
1,Fitting Rooms,Consumables,28,-0.798387097
1,Fitting Rooms,Dry Grocery,19,-1.244047619
1,Fitting Rooms,Entertainment,30,-0.914285714
1,Fitting Rooms,Fresh Foods,48,-0.86637931
1,Fitting Rooms,Frozen Foods,1,0
1,Fitting Rooms,Hard Lines,68,-0.665662651
1,Fitting Rooms,Health & Wellness,24,-1.287946429
1,Fitting Rooms,Home,113,-0.728995902
1,Fitting Rooms,Legal,111,-0.922794118
1,Fitting Rooms,Marketing,137,-0.686631944
1,Fitting Rooms,Non-Actionable,10,0.05
1,Fitting Rooms,Toys and Seasonal,7,0
1,Floor,Apparel,5,-1.541666667
1,Floor,Consumables,47,-1.088942308
1,Floor,Dry Grocery,26,-1.5625
1,Floor,Entertainment,9,-0.4625
1,Floor,Fresh Foods,79,-0.871778351
1,Floor,Frozen Foods,3,-1.45
1,Floor,Hard Lines,15,-1.551470588
1,Floor,Health & Wellness,10,-1.2
1,Floor,Home,45,-0.800531915
1,Floor,Legal,63,-1.98538961
1,Floor,Marketing,45,-1.295918367
1,Floor,Non-Actionable,1,3.75
1,Floor,Toys and Seasonal,4,-1.6875
1,Friendliness,Apparel,285,-0.133613782
1,Friendliness,Consumables,831,-0.100982533
1,Friendliness,Dry Grocery,1486,-0.114380576
1,Friendliness,Entertainment,1366,-0.058820346
1,Friendliness,Fresh Foods,6343,0.182697129
1,Friendliness,Frozen Foods,229,0.228612167
1,Friendliness,Hard Lines,1590,-0.096173868
1,Friendliness,Health & Wellness,5874,0.678092068
1,Friendliness,Home,3804,1.071193849
1,Friendliness,Legal,1846,-0.019749703
1,Friendliness,Marketing,7236,0.391859938
1,Friendliness,Non-Actionable,961,1.627985462
1,Friendliness,Toys and Seasonal,614,0.407523511
1,Greeting,Apparel,151,-0.160502959
1,Greeting,Consumables,370,-0.21025953
1,Greeting,Dry Grocery,628,-0.281592752
1,Greeting,Entertainment,699,0.072256098
1,Greeting,Fresh Foods,1981,-0.130451903
1,Greeting,Frozen Foods,93,-0.207932692
1,Greeting,Hard Lines,683,-0.226750831
1,Greeting,Health & Wellness,1022,0.286877796
1,Greeting,Home,977,0.208010023
1,Greeting,Legal,2056,-0.446470033
1,Greeting,Marketing,2731,0.035451317
1,Greeting,Non-Actionable,267,0.405208333
1,Greeting,Toys and Seasonal,318,-0.117057674
1,Heating/Cooling,Apparel,19,-1.30625
1,Heating/Cooling,Consumables,186,-0.800705467
1,Heating/Cooling,Dry Grocery,99,-1.070121951
1,Heating/Cooling,Entertainment,30,-0.518382353
1,Heating/Cooling,Fresh Foods,271,-0.974455041
1,Heating/Cooling,Frozen Foods,36,-1.353040541
1,Heating/Cooling,Hard Lines,258,-0.952595029
1,Heating/Cooling,Health & Wellness,76,-0.809593023
1,Heating/Cooling,Home,77,-0.323932927
1,Heating/Cooling,Legal,78,-1.186708861
1,Heating/Cooling,Marketing,197,-0.843899522
1,Heating/Cooling,Non-Actionable,19,0.085526316
1,Heating/Cooling,Toys and Seasonal,16,-0.735294118
1,Helpfulness,Apparel,634,-0.206431159
1,Helpfulness,Consumables,1626,-0.445269527
1,Helpfulness,Dry Grocery,2034,-0.295129893
1,Helpfulness,Entertainment,4515,-0.232710461
1,Helpfulness,Fresh Foods,8070,-0.231395727
1,Helpfulness,Frozen Foods,398,-0.25154148
1,Helpfulness,Hard Lines,5569,-0.514037231
1,Helpfulness,Health & Wellness,7415,0.785562053
1,Helpfulness,Home,4598,0.39844167
1,Helpfulness,Legal,3549,-0.370319892
1,Helpfulness,Marketing,8299,0.107086538
1,Helpfulness,Non-Actionable,1214,1.402412281
1,Helpfulness,Toys and Seasonal,950,-0.008282879
1,In-Store Advertising,Consumables,5,-1.125
1,In-Store Advertising,Dry Grocery,3,-2.25
1,In-Store Advertising,Entertainment,195,-1.281388889
1,In-Store Advertising,Fresh Foods,17,-1.243421053
1,In-Store Advertising,Hard Lines,4,-2.725
1,In-Store Advertising,Health & Wellness,25,-1.458333333
1,In-Store Advertising,Home,3,-1.166666667
1,In-Store Advertising,Legal,7,-1.107142857
1,In-Store Advertising,Marketing,74,-1.033430233
1,In-Store Advertising,Non-Actionable,1,0
1,In-Store Advertising,Toys and Seasonal,4,-0.25
1,In-Store Navigation,Apparel,162,-0.781355219
1,In-Store Navigation,Consumables,852,-0.772938513
1,In-Store Navigation,Dry Grocery,1267,-0.826571169
1,In-Store Navigation,Entertainment,988,-0.734125254
1,In-Store Navigation,Fresh Foods,2683,-0.721164917
1,In-Store Navigation,Frozen Foods,246,-0.750801282
1,In-Store Navigation,Hard Lines,1055,-0.751805986
1,In-Store Navigation,Health & Wellness,1311,-0.876449275
1,In-Store Navigation,Home,2001,-0.123554579
1,In-Store Navigation,Legal,1598,-0.944614097
1,In-Store Navigation,Marketing,3772,-0.593097158
1,In-Store Navigation,Non-Actionable,203,0.729064039
1,In-Store Navigation,Toys and Seasonal,420,-0.634065934
1,Knowledge,Apparel,198,-0.744493392
1,Knowledge,Consumables,503,-0.73454416
1,Knowledge,Dry Grocery,846,-0.766594608
1,Knowledge,Entertainment,2019,-0.475898861
1,Knowledge,Fresh Foods,3079,-0.630592293
1,Knowledge,Frozen Foods,130,-0.668333333
1,Knowledge,Hard Lines,1633,-0.482092584
1,Knowledge,Health & Wellness,2178,0.262629774
1,Knowledge,Home,1443,0.090690145
1,Knowledge,Legal,813,-0.6328125
1,Knowledge,Marketing,3893,-0.301014203
1,Knowledge,Non-Actionable,209,1.204464286
1,Knowledge,Toys and Seasonal,254,-0.53030303
1,Layout Consistency,Apparel,30,-1.41015625
1,Layout Consistency,Consumables,248,-0.681891026
1,Layout Consistency,Dry Grocery,306,-1.232705479
1,Layout Consistency,Entertainment,103,-0.890267176
1,Layout Consistency,Fresh Foods,714,-1.105053191
1,Layout Consistency,Frozen Foods,63,-1.019736842
1,Layout Consistency,Hard Lines,265,-1.056498344
1,Layout Consistency,Health & Wellness,241,-1.028952206
1,Layout Consistency,Home,328,-0.665316901
1,Layout Consistency,Legal,399,-1.321306818
1,Layout Consistency,Marketing,748,-0.924984355
1,Layout Consistency,Non-Actionable,30,-0.55
1,Layout Consistency,Toys and Seasonal,129,-1.09375
1,Lighting,Apparel,13,-0.383333333
1,Lighting,Consumables,44,-1.167553191
1,Lighting,Dry Grocery,146,-1.21875
1,Lighting,Entertainment,45,-0.347222222
1,Lighting,Fresh Foods,327,-0.991113744
1,Lighting,Frozen Foods,25,-1.491935484
1,Lighting,Hard Lines,293,-0.980742297
1,Lighting,Health & Wellness,68,-1.188356164
1,Lighting,Home,205,0.007009346
1,Lighting,Legal,126,-1.095301418
1,Lighting,Marketing,318,-0.39212828
1,Lighting,Non-Actionable,27,1.509259259
1,Lighting,Toys and Seasonal,61,-0.871268657
1,Listening,Apparel,21,-0.961956522
1,Listening,Consumables,31,-0.736486486
1,Listening,Dry Grocery,101,-0.849385246
1,Listening,Entertainment,227,0.45942623
1,Listening,Fresh Foods,220,-0.946672355
1,Listening,Frozen Foods,15,-0.78125
1,Listening,Hard Lines,90,-0.828125
1,Listening,Health & Wellness,158,-0.582621951
1,Listening,Home,41,-0.308333333
1,Listening,Legal,81,-1.048455056
1,Listening,Marketing,270,-0.570050336
1,Listening,Non-Actionable,12,-0.5
1,Listening,Toys and Seasonal,26,0.133928571
1,New Merchandise,Apparel,26,-0.85
1,New Merchandise,Consumables,187,-0.366860465
1,New Merchandise,Dry Grocery,305,-0.764144737
1,New Merchandise,Entertainment,915,-0.088151466
1,New Merchandise,Fresh Foods,542,-0.608681023
1,New Merchandise,Frozen Foods,63,-0.176369863
1,New Merchandise,Hard Lines,210,-0.021416084
1,New Merchandise,Health & Wellness,94,-0.743534483
1,New Merchandise,Home,137,0.05787037
1,New Merchandise,Legal,70,-0.984375
1,New Merchandise,Marketing,678,-0.295492627
1,New Merchandise,Non-Actionable,11,0.159090909
1,New Merchandise,Toys and Seasonal,115,-0.37289916
1,Noise,Apparel,38,-1.867021277
1,Noise,Consumables,112,-1.490104167
1,Noise,Dry Grocery,198,-1.423055556
1,Noise,Entertainment,508,-1.634716236
1,Noise,Fresh Foods,656,-1.430181559
1,Noise,Frozen Foods,26,-0.956730769
1,Noise,Hard Lines,234,-1.476287879
1,Noise,Health & Wellness,219,-1.707202842
1,Noise,Home,146,-1.300653595
1,Noise,Legal,308,-1.604607251
1,Noise,Marketing,526,-1.415234375
1,Noise,Non-Actionable,29,-1.25862069
1,Noise,Toys and Seasonal,92,-1.411616162
1,Odor,Apparel,7,-1.125
1,Odor,Consumables,116,-1.140267176
1,Odor,Dry Grocery,117,-0.910185185
1,Odor,Entertainment,21,-1.034090909
1,Odor,Fresh Foods,596,-1.032668712
1,Odor,Frozen Foods,25,-1.65
1,Odor,Hard Lines,88,-1.561170213
1,Odor,Health & Wellness,45,-1.182692308
1,Odor,Home,104,-0.109234234
1,Odor,Legal,41,-1.577380952
1,Odor,Marketing,144,-0.716981132
1,Odor,Non-Actionable,8,0.125
1,Odor,Toys and Seasonal,10,-0.25
1,On Display,Apparel,459,-0.964792413
1,On Display,Consumables,952,-0.753949536
1,On Display,Dry Grocery,1937,-0.73473068
1,On Display,Entertainment,2392,-0.579995658
1,On Display,Fresh Foods,5266,-0.442766166
1,On Display,Frozen Foods,249,-0.738115693
1,On Display,Hard Lines,1102,-0.70236931
1,On Display,Health & Wellness,857,-0.940638975
1,On Display,Home,2734,-0.197144684
1,On Display,Legal,1933,-1.182168596
1,On Display,Marketing,5409,-0.347282277
1,On Display,Non-Actionable,89,0.3875
1,On Display,Toys and Seasonal,913,-0.442149585
1,Price Matching,Apparel,3,0.333333333
1,Price Matching,Consumables,89,-0.496323529
1,Price Matching,Dry Grocery,248,-0.314716312
1,Price Matching,Entertainment,248,-0.525947653
1,Price Matching,Fresh Foods,1202,-0.248369887
1,Price Matching,Frozen Foods,36,-0.268292683
1,Price Matching,Hard Lines,102,-0.078828829
1,Price Matching,Health & Wellness,79,-0.401515152
1,Price Matching,Home,73,-0.048160173
1,Price Matching,Legal,90,-0.527626812
1,Price Matching,Marketing,2323,-0.203967417
1,Price Matching,Non-Actionable,69,1.186594203
1,Price Matching,Toys and Seasonal,19,0.381578947
1,Pricing/Value,Apparel,1661,-0.082147696
1,Pricing/Value,Consumables,8961,-0.005695419
1,Pricing/Value,Dry Grocery,13051,-0.273127544
1,Pricing/Value,Entertainment,11169,0.301198782
1,Pricing/Value,Fresh Foods,43241,-0.22164314
1,Pricing/Value,Frozen Foods,2383,0.046294653
1,Pricing/Value,Hard Lines,10296,0.116554019
1,Pricing/Value,Health & Wellness,7367,-0.025908078
1,Pricing/Value,Home,10538,0.37046279
1,Pricing/Value,Legal,7073,-0.748643029
1,Pricing/Value,Marketing,52042,0.205410424
1,Pricing/Value,Non-Actionable,1679,0.84883462
1,Pricing/Value,Toys and Seasonal,2560,0.048113547
1,Product Availability,Apparel,2318,-0.948600951
1,Product Availability,Consumables,16454,-1.020526197
1,Product Availability,Dry Grocery,27405,-0.986427314
1,Product Availability,Entertainment,9603,-0.764529082
1,Product Availability,Fresh Foods,59413,-0.828349004
1,Product Availability,Frozen Foods,5035,-0.944657731
1,Product Availability,Hard Lines,15047,-0.900539447
1,Product Availability,Health & Wellness,8503,-0.908742486
1,Product Availability,Home,9601,-0.69205981
1,Product Availability,Legal,6480,-1.020463682
1,Product Availability,Marketing,28369,-0.724995827
1,Product Availability,Non-Actionable,1026,-0.013795316
1,Product Availability,Toys and Seasonal,3391,-0.777998584
1,Pros/Cons,Apparel,4,0.833333333
1,Pros/Cons,Consumables,9,0.038461538
1,Pros/Cons,Dry Grocery,33,-0.515243902
1,Pros/Cons,Entertainment,31,-0.444940476
1,Pros/Cons,Fresh Foods,83,-0.466386555
1,Pros/Cons,Frozen Foods,8,0.21875
1,Pros/Cons,Hard Lines,19,-0.517045455
1,Pros/Cons,Health & Wellness,24,-0.327586207
1,Pros/Cons,Home,21,-0.142045455
1,Pros/Cons,Legal,20,-0.869565217
1,Pros/Cons,Marketing,62,-0.529464286
1,Pros/Cons,Non-Actionable,4,0.0625
1,Pros/Cons,Toys and Seasonal,6,-0.214285714
1,Quality of Staff,Apparel,376,0.234669811
1,Quality of Staff,Consumables,1062,0.069996843
1,Quality of Staff,Dry Grocery,1735,0.060682621
1,Quality of Staff,Entertainment,2434,0.233856972
1,Quality of Staff,Fresh Foods,7619,-0.027407787
1,Quality of Staff,Frozen Foods,284,0.198529412
1,Quality of Staff,Hard Lines,2915,-0.031641518
1,Quality of Staff,Health & Wellness,6524,1.283774494
1,Quality of Staff,Home,3262,0.843782804
1,Quality of Staff,Legal,2245,-0.175769946
1,Quality of Staff,Marketing,8363,0.377570733
1,Quality of Staff,Non-Actionable,1108,1.938532282
1,Quality of Staff,Toys and Seasonal,794,0.526430723
1,Quality/Reliability,Apparel,615,-0.837782396
1,Quality/Reliability,Consumables,1634,-0.734071375
1,Quality/Reliability,Dry Grocery,2066,-0.640190476
1,Quality/Reliability,Entertainment,1240,-0.808054177
1,Quality/Reliability,Fresh Foods,16290,-0.841580262
