"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Adams Wind Project","Adams Wind Project","Adams Wind Project","Definition:Commercial Scale Wind",,"Juhl Wind",,"Meeker County MN","19.8 MW",12,2011,Alstom,"In Service","43.680643°, -92.701006°"
"Aegir II","Aegir II","Aegir II","Definition:Offshore Wind",,,,"Lake Michigan MI","500 MW",100,,,Proposed,"43.098°, -86.597°"
"Aero Turbine","Aero Turbine","Aero Turbine","Definition:Commercial Scale Wind","AeroTurbine Energy Company",,,"Riverside County CA","5 MW",39,1989,,"In Service","33.7437°, -115.9925°"
"Aeroman Repower Wind Farm","Aeroman Repower Wind Farm","Aeroman repower (2003)","Definition:Commercial Scale Wind","Coram Energy","Coram Energy","Southern California Edison Co","Tehachapi CA","3 MW",2,2003,"GE Energy","In Service","35.044965°, -118.278036°"
"Affinity Wind Farm","Affinity Wind Farm",Affinity,"Definition:Commercial Scale Wind","Affinity Wind LLC","Affinity Wind LLC",,"Pittsfield, Illinois","150 MW",75,2012,"Suzlon Energy Company","Under Construction","39.606658053878°, -90.986366271973°"
"Agassiz Beach Wind Farm","Agassiz Beach Wind Farm","Agassiz Beach","Definition:Commercial Scale Wind","NAE/Enel North America","Northern Alternative Energy","Xcel Energy","Clay County MN","1.98 MW",3,2001,Vestas,"In Service","46.8844°, -96.5042°"
"Agriwind Wind Farm","Agriwind Wind Farm",Agriwind,"Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind","Wabash Valley Power Association",IL,"8.4 MW",4,2008,"Suzlon Energy Company","In Service","41.252069°, -89.579542°"
"Ainsworth Wind Energy Facility","Ainsworth Wind Energy Facility","Ainsworth Wind Energy Facility","Definition:Commercial Scale Wind","Nebraska Public Power District and consortium of public utilities","Nebraska Public Power District and consortium of public utilities","Nebraska Public Power District and consortium of public utilities","Ainsworth NE","59.4 MW",36,2005,Vestas,"In Service","42.460023°, -99.876037°"
"Airforce Wind Farm","Airforce Wind Farm",Airforce,"Definition:Community Wind",Airforce,Airforce,,WY,"2 MW",1,2009,Gamesa,"In Service","43.0759678°, -107.2902839°"
"Akron-Westfield School District Wind Farm","Akron-Westfield School District Wind Farm","Akron-Westfield School District","Definition:Community Wind","Akron-Westfield Comm. Schools",,"Alliant/IES Utilities","Akron-Westfield IA","0.6 MW",1,1999,Vestas,"In Service","42.7859°, -96.5836°"
"Alaska Village Cooperative Wind Farm","Alaska Village Cooperative Wind Farm","Alaska Village Cooperative","Definition:Commercial Scale Wind","Alaska Village Elec Coop","Kotzebue Electric Assn Inc","Alaska Village Elec Coop","Toksook Bay AK","0.3 MW",3,2005,"Northern Power Systems","In Service","60.5315°, -165.109°"
"Alite Wind Farm","Alite Wind Farm","Alite Wind Farm","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Allco/Oak Creek Energy","California Portland Cement","Mojave CA","24 MW",8,2008,Vestas,"In Service","35.04046°, -118.29939°"
"Alleghany High School Wind Project","Alleghany High School Wind Project","Alleghany High School","Definition:Community Wind",,,,NC,,1,,SkyStream,,"36.514774°, -81.124809°"
"Allegheny Ridge Wind Farm","Allegheny Ridge Wind Farm","Allegheny Ridge wind farm","Definition:Commercial Scale Wind","GE Energy",Gamesa,"First Energy Corp.","Cambria and Blair Counties PA","80 MW",40,2007,Gamesa,"In Service","40.397243°, -78.546156°"
"Alta I","Alta I","Alta I","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",100,2010,"GE Energy","In Service","35.01917213°, -118.3031845°"
"Alta II (Vestas)","Alta II (Vestas)","Alta II (Vestas)","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2010,Vestas,"In Service","35.01917213°, -118.3031845°"
"Alta III","Alta III","Alta III","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2011,Vestas,"In Service","35.01917213°, -118.3031845°"
"Alta IV","Alta IV","Alta IV","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","102 MW",34,2011,Vestas,"In Service","35.01917213°, -118.3031845°"
"Alta Mesa I Wind Farm","Alta Mesa I Wind Farm","Alta Mesa I","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","18.72 MW",117,,Danwin,"In Service","33.9095°, -116.734°"
"Alta Mesa II Wind Farm","Alta Mesa II Wind Farm","Alta Mesa II","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","9.45 MW",42,,Vestas,"In Service","33.9095°, -116.734°"
"Alta V","Alta V","Alta V","Definition:Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","168 MW",56,2011,Vestas,"In Service","35.01917213°, -118.3031845°"
"Altech Energy Wind Farm","Altech Energy Wind Farm","Altech Energy Ltd","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","5.76 MW",144,,Enertech,"In Service","37.7347°, -121.652°"
"Altech III (a)","Altech III (a)","Altech III","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","3.31 MW",51,,"NEG Micon","In Service","33.9095°, -116.734°"
"Altech III (b)","Altech III (b)","Altech III","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","21.71 MW",201,,"NEG Micon","In Service","33.9095°, -116.734°"
"American Windmill Museum Wind Farm","American Windmill Museum Wind Farm","American Windmill Museum","Definition:Community Wind","American Wind Power Center","American Wind Power Center","American Windmill Museum","Lubbock TX","0.66 MW",1,2005,Vestas,"In Service","33.5637°, -101.869°"
"Anacacho Wind Farm","Anacacho Wind Farm",Anacacho,"Definition:Commercial Scale Wind","E.On Climate & Renewables","E.On Climate & Renewables","Undisclosed PPA","West of Uvalde, Texas","99 MW",55,2012,Vestas,"In Service","29.192204°, -100.192095°"
"Anheuser-Busch Fairfield","Anheuser-Busch Fairfield","Anheuser-Busch Fairfield","Definition:Community Wind","Foundation Windpower","Foundation Windpower",Anheuser-Busch,"Fairfield CA","1.5 MW",1,2011,"GE Energy","In Service","38.2322979°, -122.0892727°"
"Antelope Ridge Wind Farm","Antelope Ridge Wind Farm","Antelope Ridge Wind Farm","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy",,"Union County OR","300 MW",164,,Undetermined,Proposed,"45.207914°, -117.914075°"
"Apex Offshore Phase 1","Apex Offshore Phase 1","Apex Offshore Phase 1","Definition:Offshore Wind","Apex Wind Energy","Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited",,"Atlantic Ocean NC","600 MW",165,,,Proposed,"34.169°, -77.12°"
"Apex Offshore Phase 2","Apex Offshore Phase 2","Apex Offshore Phase 2","Definition:Offshore Wind","Apex Wind Energy","Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited",,"Atlantic Ocean NC","1,300 MW",360,,,Proposed,"34.169°, -76.91°"
"Appalachian State","Appalachian State","Appalachian State","Definition:Small Scale Wind",,,,"Boone NC","0.1 MW",1,2009,"Northern Power Systems","In Service","36.21342836°, -81.69232965°"
"Appanoose Elementary School Wind Project","Appanoose Elementary School Wind Project","Appanoose Elementary School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.693932°, -95.459846°"
"Applied Materials Wind Turbine","Applied Materials Wind Turbine","Applied Materials","Definition:Community Wind","Applied Materials","Applied Materials","Applied Materials","Gloucester MA","2.5 MW",1,2012,Kenersys,"In Service","42.62895426°, -70.65153122°"
"Aragonne Mesa Wind Farm","Aragonne Mesa Wind Farm","Aragonne Mesa","Definition:Commercial Scale Wind","GE Energy","Babcock & Brown","Arizona Public Service","Guadalupe County NM","90 MW",90,2006,Mitsubishi,"In Service","34.796889°, -105.054188°"
"Archbold Local Schools Wind Turbine","Archbold Local Schools Wind Turbine","Archbold Local Schools Wind Turbine","Definition:Community Wind","Archbold Area Local Schools District","Archbold Area Local Schools District","Archbold Area Local Schools District","Archbold OH","0.75 MW",1,2012,Aeronautica,"In Service","41.51543828°, -84.31605577°"
"Arends Brothers","Arends Brothers","Arends Brothers","Definition:Small Scale Wind",,,,"Ashmore IL","0.1 MW",1,2009,"Northern Power Systems","In Service","39.53129531°, -88.02976191°"
"Armenia Mountain Wind Energy Project","Armenia Mountain Wind Energy Project","Armenia Mountain Wind Energy Project","Definition:Commercial Scale Wind","AES Armenia Mountain Wind",AES,"Old Dominion Electric","Tioga and Bradford Counties PA","101 MW",67,2010,"GE Energy","In Service","41.763272°, -76.842613°"
"Arnold Wind Farm","Arnold Wind Farm","Arnold Wind Farm","Definition:Community Wind",,"David Arnold",,"Wilmont MN","1.65 MW",1,2005,Vestas,"In Service","43.762°, -95.8274°"
"Ashtabula - NextEra Wind Farm","Ashtabula - NextEra Wind Farm","Ashtabula - NextEra","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Northeastern Barnes County- ND ND","148.5 MW",99,2008,"GE Energy","In Service","47.123021°, -97.895°"
"Ashtabula - Otter Tail Wind Farm","Ashtabula - Otter Tail Wind Farm","Ashtabula - Otter Tail","Definition:Commercial Scale Wind","Otter Tail Power Co.","NextEra Energy Resources","Otter Tail Power Co.","Northeastern Barnes County- ND ND","48 MW",32,2008,"GE Energy","In Service","47.123021°, -97.895°"
"Ashtabula II Wind Farm","Ashtabula II Wind Farm","Ashtabula II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Minnkota Power Cooperative","Griggs & Steele Counties ND","120 MW",80,2009,"GE Energy","In Service","47.133005°, -97.950597°"
"Ashtabula III","Ashtabula III","Ashtabula III","Definition:Commercial Scale Wind",,"NextEra Energy Resources",,"Barnes County ND","62.4 MW",39,2010,"GE Energy","In Service","47.135175°, -97.935219°"
"Auburn-Washburn Wind Project","Auburn-Washburn Wind Project",Auburn-Washburn,"Definition:Community Wind",,,,KS,,1,,SkyStream,,
"Aurora Wal Mart Wind Farm","Aurora Wal Mart Wind Farm","Aurora Wal Mart","Definition:Small Scale Wind","Aurora Wal Mart","Aurora Wal Mart","Aurora Wal Mart","Aurora CO","0.05 MW",1,2005,"Bergey Windpower","In Service","39.760714°, -104.773079°"
"Auwahi Wind","Auwahi Wind","Auwahi Wind","Definition:Commercial Scale Wind","BP Wind Energy / Sempra Energy","Sempra Generation","Maui Electric Co","Maui HI","24 MW",8,2012,Siemens,"In Service","20.596379°, -156.318304°"
"Avery County High School Wind Project","Avery County High School Wind Project","Avery County High School","Definition:Community Wind",,,,NC,,1,,SkyStream,,"36.068371°, -81.918159°"
BLM-JCI,BLM-JCI,BLM-JCI,"Definition:Small Scale Wind",BLM-JCI,,BLM-JCI,"Rawlins WY","0.1 MW",1,2010,"Northern Power Systems","In Service","41.79754379°, -107.2415829°"
"Baileyville Wind Project","Baileyville Wind Project","Baileyville Wind Project","Definition:Commercial Scale Wind","Apex Wind Energy","Apex Wind Energy",,"Ogle County IL","80 MW",40,,Gamesa,"Under Construction","41.9227°, -89.3006°"
"Baldwin Wind Farm","Baldwin Wind Farm","Baldwin Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","Burleigh County near Wilton ND","102.4 MW",64,2010,"GE Energy","In Service","47.059561°, -100.776°"
"Bancroft-Rosalie Public Schools Wind Project","Bancroft-Rosalie Public Schools Wind Project","Bancroft-Rosalie Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"42.008919°, -96.570847°"
"Banner Wind Project","Banner Wind Project","Banner Wind Project","Definition:Commercial Scale Wind","Bering Straits Native Corporation and Sitnasuak Native Corporation","Western Community Energy","Nome Joint Utilities","Nome AK","0.9 MW",18,2008,Entegrity,"In Service","64.507553°, -165.419189°"
"Bartlett's Ocean View Wind Farm","Bartlett's Ocean View Wind Farm","Bartlett's Ocean View Wind Farm","Definition:Community Wind","Bartlett's Ocean View Wind Farm",,"Bartlett's Ocean View Wind Farm","Nantucket MA","0.25 MW",1,2009,"Wind Energy Solutions","In Service","41.259168°, -70.131913°"
"Barton Chapel Wind Farm","Barton Chapel Wind Farm","Barton Chapel Wind","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Jack County TX","120 MW",60,2009,Gamesa,"In Service","33.073442°, -98.30084°"
"Barton Wind Farm","Barton Wind Farm","Barton Wind Farm","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NIPSCO,"Worth County IA","160 MW",80,2009,Gamesa,"In Service","43.365893°, -93.095412°"
"Baseline Wind Energy Facility","Baseline Wind Energy Facility","Baseline Wind Energy Facility","Definition:Commercial Scale Wind","First Wind","First Wind",,"Gilliam County OR","500 MW",250,,Undetermined,Proposed,"45.626863°, -120.162885°"
"Bayonne Wind Energy Project","Bayonne Wind Energy Project","Bayonne Wind Energy Project","Definition:Community Wind","Bayonne Municipal Utility Authority","Bayonne Municipal Utility Authority",,"Bayonne NJ","1.5 MW",1,2012,Leitner-Poma,"In Service","40.65277771°, -74.11774993°"
"Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Definition:Community Wind","Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Union Beach NJ","1.5 MW",1,,"GE Energy",Proposed,"40.4497613°, -74.1764619°"
"Bear Creek Wind Farm","Bear Creek Wind Farm","Bear Creek","Definition:Commercial Scale Wind","Babcock & Brown owns majority","CEI Iberdrola","PPL Corp.","Near Bear Creek Village PA","24 MW",12,2006,Gamesa,"In Service","41.1801°, -75.7216°"
"Beaulieu Wind Farm","Beaulieu Wind Farm",Beaulieu,"Definition:Small Scale Wind","Private owner","Private owner","Maine Public Power","Aroostook County ME","0.05 MW",1,1999,"Atlantic Orient Co.","In Service","46.551388°, -67.808333°"
"Beebe Community Wind","Beebe Community Wind","Beebe Community Wind","Definition:Commercial Scale Wind","Exelon Wind",Nordex,"Consumers Energy","Ithaca MI","81.6 MW",34,2012,Nordex,"In Service","43.3061272°, -84.5722881°"
"Beech Ridge Energy Wind Farm","Beech Ridge Energy Wind Farm","Beech Ridge Energy","Definition:Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","Greenbrier County WV","84 MW",56,,"GE Energy","Under Construction","38.06692°, -80.498571°"
"Bellevue High School","Bellevue High School","Bellevue High School","Definition:Small Scale Wind","Bellevue High School",,"Bellevue High School","Bellevue WA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.28241024°, -82.84591019°"
"Bennett Creek","Bennett Creek","Bennett Creek","Definition:Commercial Scale Wind","Idaho Windfarms / John Deere","Idaho Windfarms",,"Elmore County ID","21 MW",10,2009,"Suzlon Energy Company","In Service","43.0466399°, -115.485481°"
"Bent Tree Wind Farm","Bent Tree Wind Farm","Bent Tree Wind Farm","Definition:Commercial Scale Wind","Wisconsin Power and Light Co.","Wisconsin Power and Light Co.",,"4 miles North of Albert Lea MN","201.3 MW",122,2011,Vestas,"In Service","43.78544°, -93.452282°"
"Bergey Windpower Headquarters Wind Farm","Bergey Windpower Headquarters Wind Farm","Bergey Windpower Headquarters","Definition:Small Scale Wind","Bergey Windpower","Bergey Windpower","Bergey Windpower","Norman OK","0.05 MW",1,2005,"Bergey Windpower 50-kW","In Service","35.243076°, -97.456799°"
"Berkshire East Ski Area","Berkshire East Ski Area","Berkshire East Ski Area","Definition:Community Wind","Sustainable Energy Development",,"Berkshire East Ski Area","Charlemont MA","0.9 MW",1,2010,PowerWind,"In Service","42.61621237°, -72.86660671°"
"Berkshire Wind Farm","Berkshire Wind Farm","Berkshire Wind Farm","Definition:Commercial Scale Wind",,"Berkshire Wind Power LLC with DisGen and MTC","Consortium of municipal utilities","Brodie Mountain MA","15 MW",10,2011,,"In Service","42.636188°, -73.244491°"
"Big Blue Wind Farm","Big Blue Wind Farm","Big Blue Wind Farm","Definition:Commercial Scale Wind",Exergy,Exergy,"Xcel Energy","Blue Earth MN","36 MW",18,2012,Gamesa,"In Service","43.64324946°, -94.22179699°"
"Big Horn 2","Big Horn 2","Big Horn 2","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","MSR Public Power Agency","Near Bickleton WA","50 MW",33,2010,"GE Energy","In Service","45.871889°, -120.292354°"
"Big Horn Wind Power Project","Big Horn Wind Power Project","Big Horn Wind Power Project","Definition:Commercial Scale Wind","Iberdrola Renewables","PPM Energy Inc","Modesto-Santa Clara-Redding Public Power Agency","Klickitat County WA","199.5 MW",133,2006,"GE Energy","In Service","45.935948°, -120.284085°"
"Big Sky Wind Facility","Big Sky Wind Facility","Big Sky Wind Facility","Definition:Commercial Scale Wind","Edison Mission Energy","Edison Mission Energy","PJM Market","Bureau County IL","239.4 MW",132,2011,"Suzlon Energy Company","In Service","41.579967°, -89.46177°"
"Big Smile Wind Farm (Dempsey Ridge)","Big Smile Wind Farm (Dempsey Ridge)","Big Smile Wind Farm (Dempsey Ridge)","Definition:Commercial Scale Wind",Acciona,Acciona,,"Roger Mills County OK","132 MW",66,2012,Acciona,"In Service","35.508363°, -99.739494°"
"Big Spring I Wind Farm","Big Spring I Wind Farm","Big Spring I","Definition:Commercial Scale Wind",Caithness,"York Research","TXU Electric & Gas","Howard County TX","27.72 MW",42,1999,Vestas,"In Service","32.146715°, -101.398244°"
"Big Spring II Wind Farm","Big Spring II Wind Farm","Big Spring II","Definition:Commercial Scale Wind",Caithness,"York Research","TXU Electric & Gas","Howard County TX","6.6 MW",4,1999,Vestas,"In Service","32.146715°, -101.398244°"
"Big Wind Power Project (Lanai)","Big Wind Power Project (Lanai)","Big Wind Power Project (Lanai)","Definition:Commercial Scale Wind",,,,"Lanai Island HI","400 MW",170,,Undetermined,Proposed,"20.828844°, -156.928825°"
"Big Windy (Great Escape Restaurant Turbine)","Big Windy (Great Escape Restaurant Turbine)","Big Windy (Great Escape Restaurant Turbine)","Definition:Community Wind","Great Escape Restaurant",,,"Schiller Park IL","1 MW",0.108,2009,Micon,"In Service","41.95547°, -87.865193°"
"Biglow Canyon Phase II Wind Farm","Biglow Canyon Phase II Wind Farm","Biglow Canyon Phase II","Definition:Commercial Scale Wind","Portland General Electric","Orion Energy Group","Portland General Electric","Sherman County OR","149.5 MW",65,2009,Siemens,"In Service","45.6375°, -120.605278°"
"Biglow Canyon Phase III Wind Farm","Biglow Canyon Phase III Wind Farm","Biglow Canyon Phase III","Definition:Commercial Scale Wind","Portland General Electric","Orion Energy Group","Portland General Electric","Sherman County OR","174.8 MW",76,2009,Siemens,"In Service","45.6375°, -120.605278°"
"Biglow Canyon Wind Farm","Biglow Canyon Wind Farm","Biglow Canyon Wind Farm","Definition:Commercial Scale Wind","Portland General Electric","Orion/Portland General Electric","Portland General Electric","Sherman County OR","125.4 MW",76,2007,Vestas,"In Service","45.629003°, -120.605607°"
"Bingham Lake Wind Farm","Bingham Lake Wind Farm","Bingham Lake Wind Farm","Definition:Commercial Scale Wind","Edison Mission Group owns majority","Edison Mission Group","Alliant Energy","Bingham Lake MN","15 MW",12,2006,"Suzlon Energy Company","In Service","43.909°, -95.0464°"
"Bishop Hill I","Bishop Hill I","Bishop Hill I","Definition:Commercial Scale Wind",Ivenergy,Ivenergy,"Tennessee Valley Authority","Altona IL","209 MW",,2012,"GE Energy","In Service","41.15978766°, -90.10059357°"
"Bishop Hill II","Bishop Hill II","Bishop Hill II","Definition:Commercial Scale Wind","MidAmerican Energy",Ivenergy,"Ameren Illinois Company","Cambridge IL","80 MW",50,2012,"GE Energy","In Service","41.24438513°, -90.09338379°"
"Bison Wind 1B","Bison Wind 1B","Bison Wind 1B","Definition:Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","McIntosh ND","45 MW",15,2012,Siemens,"In Service","46°, -101.5°"
"Bison Wind 2","Bison Wind 2","Bison Wind 2","Definition:Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","New Salem ND","105 MW",35,2012,Siemens,"In Service","46.96338499°, -101.5030289°"
"Bison Wind 2A","Bison Wind 2A","Bison Wind 2A","Definition:Commercial Scale Wind",,"Minnesota Windpower","Minnesota Windpower","Northwest of New Salem ND","37.95 MW",15,2012,Siemens,"In Service","46.9815°, -101.507421°"
"Bison Wind 3","Bison Wind 3","Bison Wind 3","Definition:Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","New Salem ND","105 MW",35,2012,Siemens,"In Service","46.93924603°, -101.5126419°"
"Bison Wind Farm 1A","Bison Wind Farm 1A","Bison Wind 1A","Definition:Commercial Scale Wind","Minnesota Power","Minnesota Windpower","Minnesota Windpower","Northwest of New Salem ND","75.9 MW",33,2011,Siemens,"In Service","46.9815°, -101.507421°"
"Bitworks Wind Farm","Bitworks Wind Farm",Bitworks,"Definition:Small Scale Wind","Bitworks Inc.","Bitworks Inc.","Bitworks Inc.","Washington County AR","0.1 MW",1,2003,"NEG Micon","In Service","35.976663°, -94.316975°"
"Blackfeet Nation Wind Farm","Blackfeet Nation Wind Farm","Blackfeet Nation","Definition:Small Scale Wind",,,,"Blackfeet Reservation MT","0.1 MW",1,1996,Vestas,"In Service","48.554858°, -113.010503°"
Blackwell,Blackwell,Blackwell,"Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Oklahoma State University via Oklahoma Gas & Electric","Nardin OK","59.8 MW",26,2012,Siemens,"In Service","36.85261694°, -97.43310928°"
"Block Island Wind Farm","Block Island Wind Farm","Block Island Wind Farm","Definition:Commercial Scale Wind",,"Deepwater Wind",,"Offshore from Block Island RI","20 MW",8,,Undetermined,Proposed,"41.1°, -71.53°"
"Bloomfield Public Schools Wind Project","Bloomfield Public Schools Wind Project","Bloomfield Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"42.594536°, -97.642433°"
"Blue Breezes I & II Wind Farm","Blue Breezes I & II Wind Farm","Blue Breezes I & II","Definition:Community Wind","John Deere Wind Energy","Dan Moore/John Deere Wind Energy","City of Blue Earth","City of Blue Earth MN","2.5 MW",2,2006,"Suzlon Energy Company","In Service","43.6352°, -94.0942°"
"Blue Canyon II Wind Farm","Blue Canyon II Wind Farm","Blue Canyon II","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","American Electric Power Co., Inc.","North of Lawton OK","151.2 MW",84,2005,Vestas,"In Service","34.8582°, -98.54752°"
"Blue Canyon V Wind Farm","Blue Canyon V Wind Farm","Blue Canyon V","Definition:Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,"Public Service of Oklahoma","Caddo & Comanche Counties OK","99 MW",66,2009,"GE Energy","In Service","34.8582°, -98.54752°"
"Blue Canyon VI","Blue Canyon VI","Blue Canyon VI","Definition:Commercial Scale Wind","EDP Renewables North America LLC","EDP Renewables North America LLC",Merchant,"Lawton OK","99 MW",55,2011,Vestas,"In Service","34.8582°, -98.54752°"
"Blue Canyon Wind Farm","Blue Canyon Wind Farm","Blue Canyon","Definition:Commercial Scale Wind","Babcock & Brown/Horizon","Zilkha Renewable/Kirmart Corp.","Western Farmers' Electric Cooperative","North of Lawton OK","74.25 MW",45,2003,"NEG Micon","In Service","34.852678°, -98.551807°"
"Blue Creek Wind Farm","Blue Creek Wind Farm","Blue Creek Wind Farm","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","First Energy Solutions","Van Wert County OH","304 MW",152,2012,Gamesa,"In Service","41.018286°, -84.615355°"
"Blue Sky Green Field Wind Farm","Blue Sky Green Field Wind Farm","Blue Sky Green Field Wind Farm","Definition:Commercial Scale Wind","We Energies","We Energies","We Energies","Fond du Lac County WI","145.2 MW",88,2008,Vestas,"In Service","43.908549°, -88.305384°"
"Blue Summit","Blue Summit","Blue Summit","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Undisclosed PPA","Vernon TX","135.4 MW",80,2012,"GE Energy","In Service","34.304837°, -99.376873°"
"Bluegrass Ridge Wind Energy Project","Bluegrass Ridge Wind Energy Project","Bluegrass Ridge Wind Energy Project","Definition:Commercial Scale Wind",,"Wind Capital Group/John Deere Capital","Associated Electric Cooperative","Gentry county MO","56.7 MW",27,2007,"Suzlon Energy Company","In Service","40.092392°, -94.51429°"
"Bluewater Wind New Jersey","Bluewater Wind New Jersey","Bluewater Wind New Jersey","Definition:Commercial Scale Wind",,"NRG Bluewater Wind",,"Offshore from Atlantic Beach NJ","348 MW",116,,Undetermined,Proposed,"39.18°, -74.14°"
