Primary,Related,Cooc
Appointment Time / Window Convenience,First Contact Resolution,7.46
Appointment Time / Window Convenience,Keeping Promises - Customer Service,6.58
Appointment Time / Window Convenience,All Competitors,5.26
Appointment Time / Window Convenience,Transfer / Hold,4.39
Appointment Time / Window Convenience,Keeping Promises - Customer Call Back,3.95
Appointment Time / Window Convenience,Billing Accuracy,3.51
Appointment Time / Window Convenience,Cost,3.07
Appointment Time / Window Convenience,Programming / Channel Line Up,3.07
Appointment Time / Window Convenience,Regulatory,2.63
Appointment Time / Window Convenience,Non-recurring Charges,2.63
Appointment Time / Window Convenience,Keeping Promises - Billing,2.19
Appointment Time / Window Convenience,Modem / Router,1.75
Appointment Time / Window Convenience,Supervisor Escalation,1.75
Appointment Time / Window Convenience,Technical Support,1.75
Appointment Time / Window Convenience,Picture Quality,1.75
Appointment Time / Window Convenience,Self Installation,1.32
Appointment Time / Window Convenience,Reliability / Out Of Service,1.32
Appointment Time / Window Convenience,Call Quality,1.32
Appointment Time / Window Convenience,Email / Home Page,1.32
Appointment Time / Window Convenience,Installation - Physical,0.88
Appointment Time / Window Convenience,Attitude,0.88
Appointment Time / Window Convenience,Knowledge / Helpfulness,0.88
Appointment Time / Window Convenience,Instructions,0.88
Appointment Time / Window Convenience,Home Monitor,0.88
Appointment Time / Window Convenience,Business Hours,0.88
Appointment Time / Window Convenience,Solicitation,0.88
Appointment Time / Window Convenience,Contracts,0.88
Appointment Time / Window Convenience,Advertising and Collateral,0.88
Appointment Time / Window Convenience,Getting to Rep / Reaching the Right Person,0.88
Appointment Time / Window Convenience,Interactive Voice Response (IVR),0.88
Appointment Time / Window Convenience,Ease of Ordering,0.88
Appointment Time / Window Convenience,Packages / Premium Channels,0.44
Appointment Time / Window Convenience,Equipment Delivery / Returns,0.44
Appointment Time / Window Convenience,Warranty,0.44
Appointment Time / Window Convenience,Spec Needs / Usability,0.44
Appointment Time / Window Convenience,Migration,0.44
Appointment Time / Window Convenience,Set Top Box,0.44
Appointment Time / Window Convenience,Remote,0.44
Appt Verification,Keeping Promises - Appointments,54.55
Appt Verification,First Contact Resolution,18.18
Appt Verification,Getting to Rep / Reaching the Right Person,9.09
Appt Verification,Interactive Voice Response (IVR),9.09
Appt Verification,Knowledge / Helpfulness,9.09
Appt Verification,Outsourcing,9.09
Appt Verification,Legal - Other,9.09
Appt Verification,Ease of Ordering,9.09
Attitude,Knowledge / Helpfulness,9.82
Attitude,First Contact Resolution,7.98
Attitude,Keeping Promises - Customer Service,6.75
Attitude,Supervisor Escalation,6.13
Attitude,Keeping Promises - Customer Call Back,5.52
Attitude,Transfer / Hold,4.91
Attitude,Billing Accuracy,4.91
Attitude,Resolution Time,4.29
Attitude,Call Quality,3.68
Attitude,Keeping Promises - Appointments,3.07
Attitude,Keeping Promises - Billing,3.07
Attitude,Getting to Rep / Reaching the Right Person,3.07
Attitude,Non-recurring Charges,2.45
Attitude,Technical Support,2.45
Attitude,Programming / Channel Line Up,2.45
Attitude,Cost,1.84
Attitude,Speed,1.84
Attitude,Regulatory,1.84
Attitude,Technician,1.23
Attitude,Bill Explanation,1.23
Attitude,Interactive Voice Response (IVR),1.23
Attitude,Appointment Time / Window Convenience,1.23
Attitude,Promotions,1.23
Attitude,Bill Format,1.23
Attitude,Spec Needs / Usability,1.23
Attitude,Payment,1.23
Attitude,Email / Home Page,1.23
Attitude,Outsourcing,1.23
Attitude,Up Sell,0.61
Attitude,All Competitors,0.61
Attitude,Reliability / Out Of Service,0.61
Attitude,Packages / Premium Channels,0.61
Attitude,Pay Per View / VOD,0.61
Attitude,Unauthorized Charge / Changes,0.61
Attitude,Set Top Box,0.61
Attitude,Migration,0.61
Attitude,Move / Transfer of Service,0.61
Attitude,Equipment Delivery / Returns,0.61
Attitude,Modem / Router,0.61
Attitude,Referrals / Word of Mouth,0.61
Attitude,Contracts,0.61
Attitude,Solicitation,0.61
Attitude,Collections,0.61
Attitude,Home Monitor,0.61
Attitude,Equipment Delivery / Returns,0.61
Bill Explanation,Billing Accuracy,27.47
Bill Explanation,Keeping Promises - Billing,12.09
Bill Explanation,First Contact Resolution,6.59
Bill Explanation,Transfer / Hold,5.49
Bill Explanation,Contracts,5.49
Bill Explanation,Regulatory,5.49
Bill Explanation,Cost,5.49
Bill Explanation,Keeping Promises - Customer Service,4.4
Bill Explanation,Programming / Channel Line Up,4.4
Bill Explanation,Non-recurring Charges,3.3
Bill Explanation,OneBill / Split Bill,3.3
Bill Explanation,Taxes / Surcharges,3.3
Bill Explanation,All Competitors,3.3
Bill Explanation,Knowledge / Helpfulness,3.3
Bill Explanation,Set Top Box,3.3
Bill Explanation,Resolution Time,2.2
Bill Explanation,Technician,2.2
Bill Explanation,Equipment Delivery / Returns,2.2
Bill Explanation,Collections,2.2
Bill Explanation,Keeping Promises - Customer Call Back,2.2
Bill Explanation,Attitude,2.2
Bill Explanation,Bill Format,2.2
Bill Explanation,Supervisor Escalation,1.1
Bill Explanation,Technical Support,1.1
Bill Explanation,Equipment Delivery / Returns,1.1
Bill Explanation,One Visit Resolution,1.1
Bill Explanation,Payment,1.1
Bill Explanation,Contracts,1.1
Bill Explanation,Account Verification,1.1
Bill Explanation,Live Chat,1.1
Bill Explanation,PPV / VOD Billing,1.1
Bill Explanation,Calling Plans,1.1
Bill Explanation,Unauthorized Charge / Changes,1.1
Bill Format,Keeping Promises - Billing,33.33
Bill Format,Billing Accuracy,26.67
Bill Format,Keeping Promises - Customer Service,20
Bill Format,Non-recurring Charges,20
Bill Format,Payment,6.67
Bill Format,Taxes / Surcharges,6.67
Bill Format,Attitude,6.67
Bill Format,Bill Explanation,6.67
Bill Format,Cost,6.67
Bill Format,Contracts,6.67
Bill Format,Programming / Channel Line Up,6.67
Bill Format,All Competitors,3.33
Bill Format,Equipment Delivery / Returns,3.33
Bill Format,First Contact Resolution,3.33
Bill Format,Ease of Ordering,3.33
Bill Format,Knowledge / Helpfulness,3.33
Bill Format,OneBill / Split Bill,3.33
Bill Format,Contracts,3.33
Bill Format,Calling Plans,3.33
Bill Format,Promotions,3.33
Bill Format,.Com,3.33
Bill Format,Keeping Promises - Appointments,3.33
Bill Format,Supervisor Escalation,3.33
Billing Accuracy,Keeping Promises - Billing,13.53
Billing Accuracy,Cost,12.72
Billing Accuracy,Keeping Promises - Customer Service,6.09
Billing Accuracy,Contracts,5.82
Billing Accuracy,First Contact Resolution,4.74
Billing Accuracy,Equipment Delivery / Returns,4.33
Billing Accuracy,Non-recurring Charges,4.19
Billing Accuracy,Taxes / Surcharges,3.92
Billing Accuracy,Bill Explanation,3.38
Billing Accuracy,All Competitors,2.71
Billing Accuracy,Modem / Router,2.57
Billing Accuracy,Transfer / Hold,2.44
Billing Accuracy,Keeping Promises - Customer Call Back,2.44
Billing Accuracy,Resolution Time,2.3
Billing Accuracy,Programming / Channel Line Up,2.3
Billing Accuracy,Payment,2.17
Billing Accuracy,Equipment Delivery / Returns,2.17
Billing Accuracy,Keeping Promises - Appointments,2.03
Billing Accuracy,Contracts,1.89
Billing Accuracy,Collections,1.89
Billing Accuracy,Regulatory,1.76
Billing Accuracy,Email / Home Page,1.76
Billing Accuracy,Set Top Box,1.76
Billing Accuracy,Speed,1.35
Billing Accuracy,Ease of Ordering,1.35
Billing Accuracy,PPV / VOD Billing,1.35
Billing Accuracy,OneBill / Split Bill,1.22
Billing Accuracy,Unauthorized Charge / Changes,1.22
Billing Accuracy,Appointment Time / Window Convenience,1.08
Billing Accuracy,Attitude,1.08
Billing Accuracy,Bill Format,1.08
Billing Accuracy,Calling Plans,1.08
Billing Accuracy,Remote,1.08
Billing Accuracy,Packages / Premium Channels,0.95
Billing Accuracy,Supervisor Escalation,0.95
Billing Accuracy,Advertising and Collateral,0.81
Billing Accuracy,Promotions,0.81
Billing Accuracy,Knowledge / Helpfulness,0.81
Billing Accuracy,Spec Needs / Usability,0.81
Billing Accuracy,Technical Support,0.68
Billing Accuracy,Pay Per View / VOD,0.68
Billing Accuracy,Call Quality,0.68
Billing Accuracy,Getting to Rep / Reaching the Right Person,0.68
Billing Accuracy,Technician,0.54
Billing Accuracy,Solicitation,0.54
Billing Accuracy,Phone - General,0.41
Billing Accuracy,Home Monitor,0.41
Billing Accuracy,One Visit Resolution,0.41
Billing Accuracy,Account Verification,0.41
Billing Accuracy,.Com,0.27
Billing Accuracy,Voice Mail,0.27
Billing Accuracy,Self Installation,0.27
Billing Accuracy,Online Account Management,0.27
Billing Accuracy,Picture Quality,0.27
Billing Accuracy,Caller ID,0.27
Billing Accuracy,Outsourcing,0.14
Billing Accuracy,Door to Door Agent,0.14
Billing Accuracy,Instructions,0.14
Billing Accuracy,Legal - Other,0.14
Billing Accuracy,Business Hours,0.14
Billing Accuracy,Interactive Voice Response (IVR),0.14
Billing Accuracy,Installation - Physical,0.14
Billing Accuracy,Reliability / Out Of Service,0.14
Billing Accuracy,Referrals / Word of Mouth,0.14
Billing Accuracy,Live Chat,0.14
Billing Accuracy,Move / Transfer of Service,0.14
Business Hours,Resolution Time,16.67
Business Hours,Keeping Promises - Billing,11.11
Business Hours,Programming / Channel Line Up,8.33
Business Hours,Collections,8.33
Business Hours,Appointment Time / Window Convenience,5.56
Business Hours,Home Monitor,2.78
Business Hours,Email / Home Page,2.78
Business Hours,Contracts,2.78
Business Hours,Supervisor Escalation,2.78
Business Hours,First Contact Resolution,2.78
Business Hours,All Competitors,2.78
Business Hours,Payment,2.78
Business Hours,Interactive Voice Response (IVR),2.78
Business Hours,Transfer / Hold,2.78
Business Hours,Keeping Promises - Appointments,2.78
Business Hours,Advertising and Collateral,2.78
Business Hours,Billing Accuracy,2.78
Call Quality,Technician,3.46
Call Quality,First Contact Resolution,3.11
Call Quality,Regulatory,2.42
Call Quality,Resolution Time,2.42
Call Quality,Reliability / Out Of Service,2.08
Call Quality,Attitude,2.08
Call Quality,Programming / Channel Line Up,2.08
Call Quality,Keeping Promises - Customer Service,2.08
Call Quality,Voice Mail,1.73
Call Quality,Spec Needs / Usability,1.73
Call Quality,Keeping Promises - Billing,1.73
Call Quality,Billing Accuracy,1.73
Call Quality,Home Monitor,1.38
Call Quality,Keeping Promises - Appointments,1.38
Call Quality,Keeping Promises - Customer Call Back,1.04
Call Quality,Non-recurring Charges,1.04
Call Quality,Speed,1.04
Call Quality,Transfer / Hold,1.04
Call Quality,Cost,1.04
Call Quality,Technical Support,1.04
Call Quality,Appointment Time / Window Convenience,1.04
Call Quality,Instructions,1.04
Call Quality,Email / Home Page,1.04
Call Quality,Caller ID,0.69
Call Quality,Knowledge / Helpfulness,0.69
Call Quality,Getting to Rep / Reaching the Right Person,0.69
Call Quality,Supervisor Escalation,0.69
Call Quality,Modem / Router,0.69
Call Quality,Collections,0.69
Call Quality,Ease of Ordering,0.35
Call Quality,Payment,0.35
Call Quality,Live Chat,0.35
Call Quality,Interactive Voice Response (IVR),0.35
Call Quality,Outsourcing,0.35
Call Quality,Picture Quality,0.35
Call Quality,Contracts,0.35
Call Quality,Legal - Other,0.35
Call Quality,Account Verification,0.35
Caller ID,Call Quality,8.33
Caller ID,Billing Accuracy,8.33
Caller ID,Regulatory,4.17
Caller ID,Voice Mail,4.17
Caller ID,Instructions,4.17
Caller ID,Programming / Channel Line Up,4.17
Caller ID,Keeping Promises - Appointments,4.17
Caller ID,Resolution Time,4.17
Caller ID,Cost,4.17
Caller ID,Transfer / Hold,4.17
Caller ID,Interactive Voice Response (IVR),4.17
Caller ID,All Competitors,4.17
Caller ID,Knowledge / Helpfulness,4.17
Caller ID,Supervisor Escalation,4.17
Calling Plans,Billing Accuracy,22.86
Calling Plans,Cost,17.14
Calling Plans,Keeping Promises - Billing,11.43
Calling Plans,Unauthorized Charge / Changes,8.57
Calling Plans,Taxes / Surcharges,8.57
Calling Plans,All Competitors,8.57
Calling Plans,Transfer / Hold,8.57
Calling Plans,Outsourcing,5.71
Calling Plans,Keeping Promises - Customer Service,5.71
Calling Plans,Collections,2.86
Calling Plans,Keeping Promises - Appointments,2.86
Calling Plans,Legal - Other,2.86
Calling Plans,Keeping Promises - Customer Call Back,2.86
Calling Plans,Supervisor Escalation,2.86
Calling Plans,First Contact Resolution,2.86
Calling Plans,Bill Explanation,2.86
Calling Plans,Technician,2.86
Calling Plans,Payment,2.86
Calling Plans,Non-recurring Charges,2.86
Calling Plans,Bill Format,2.86
Calling Plans,Knowledge / Helpfulness,2.86
Collections,Billing Accuracy,8.28
Collections,Contracts,5.33
Collections,First Contact Resolution,4.14
Collections,Keeping Promises - Billing,4.14
Collections,Regulatory,3.55
Collections,Cost,2.96
Collections,Keeping Promises - Customer Service,2.37
Collections,Transfer / Hold,1.78
Collections,Business Hours,1.78
Collections,Resolution Time,1.78
Collections,Equipment Delivery / Returns,1.18
Collections,Move / Transfer of Service,1.18
Collections,Legal - Other,1.18
Collections,Keeping Promises - Customer Call Back,1.18
Collections,Outsourcing,1.18
Collections,Solicitation,1.18
Collections,Bill Explanation,1.18
Collections,Call Quality,1.18
Collections,Speed,0.59
Collections,Equipment Delivery / Returns,0.59
Collections,Reliability / Out Of Service,0.59
Collections,Packages / Premium Channels,0.59
Collections,Programming / Channel Line Up,0.59
Collections,Referrals / Word of Mouth,0.59
Collections,Email / Home Page,0.59
Collections,Getting to Rep / Reaching the Right Person,0.59
Collections,Calling Plans,0.59
Collections,PPV / VOD Billing,0.59
Collections,Non-recurring Charges,0.59
Collections,Attitude,0.59
Collections,OneBill / Split Bill,0.59
Collections,Payment,0.59
Collections,All Competitors,0.59
Contracts,Contracts,94.74
Contracts,Contracts,20.5
Contracts,Billing Accuracy,14.74
Contracts,Keeping Promises - Appointments,12.63
Contracts,Cost,11.58
Contracts,Cost,10.48
Contracts,Billing Accuracy,9.79
Contracts,Keeping Promises - Billing,8.43
Contracts,Keeping Promises - Customer Service,8.42
Contracts,Keeping Promises - Billing,7.37
Contracts,Keeping Promises - Customer Service,7.06
Contracts,Regulatory,6.32
Contracts,Speed,4.21
Contracts,First Contact Resolution,4.21
Contracts,All Competitors,4.1
Contracts,First Contact Resolution,3.42
Contracts,Email / Home Page,3.16
Contracts,Move / Transfer of Service,3.16
Contracts,Keeping Promises - Customer Call Back,3.16
Contracts,Keeping Promises - Appointments,2.96
Contracts,Regulatory,2.73
Contracts,Programming / Channel Line Up,2.28
Contracts,Supervisor Escalation,2.11
Contracts,All Competitors,2.11
Contracts,Ease of Ordering,2.11
Contracts,Unauthorized Charge / Changes,2.11
Contracts,Programming / Channel Line Up,2.11
Contracts,Packages / Premium Channels,2.11
Contracts,Collections,2.05
Contracts,Email / Home Page,1.82
Contracts,Move / Transfer of Service,1.82
Contracts,Speed,1.59
Contracts,Transfer / Hold,1.59
Contracts,Keeping Promises - Customer Call Back,1.59
Contracts,Taxes / Surcharges,1.37
Contracts,Unauthorized Charge / Changes,1.37
Contracts,Legal - Other,1.37
Contracts,PPV / VOD Billing,1.14
Contracts,Supervisor Escalation,1.14
Contracts,Bill Explanation,1.14
Contracts,Packages / Premium Channels,1.14
Contracts,Knowledge / Helpfulness,1.14
Contracts,Interactive Voice Response (IVR),1.05
Contracts,PPV / VOD Billing,1.05
Contracts,Bill Format,1.05
Contracts,Non-recurring Charges,1.05
Contracts,OneBill / Split Bill,1.05
Contracts,Taxes / Surcharges,1.05
Contracts,Phone - General,1.05
Contracts,Knowledge / Helpfulness,1.05
Contracts,Bill Explanation,1.05
Contracts,Equipment Delivery / Returns,1.05
Contracts,Home Monitor,1.05
Contracts,Resolution Time,1.05
Contracts,Transfer / Hold,1.05
Contracts,Ease of Ordering,0.91
Contracts,Advertising and Collateral,0.91
Contracts,Equipment Delivery / Returns,0.91
Contracts,Resolution Time,0.91
Contracts,Payment,0.68
Contracts,Set Top Box,0.46
Contracts,Bill Format,0.46
Contracts,Referrals / Word of Mouth,0.46
Contracts,Interactive Voice Response (IVR),0.46
Contracts,Appointment Time / Window Convenience,0.46
Contracts,Outsourcing,0.46
Contracts,Pay Per View / VOD,0.23
Contracts,Home Monitor,0.23
Contracts,Promotions,0.23
Contracts,Technical Support,0.23
Contracts,Technician,0.23
Contracts,Equipment Delivery / Returns,0.23
Contracts,Reliability / Out Of Service,0.23
Contracts,Spec Needs / Usability,0.23
Contracts,Call Quality,0.23
Contracts,Modem / Router,0.23
Contracts,Solicitation,0.23
Contracts,Door to Door Agent,0.23
Contracts,Attitude,0.23
Contracts,Phone - General,0.23
Contracts,OneBill / Split Bill,0.23
Contracts,Non-recurring Charges,0.23
Contracts,Business Hours,0.23
Contracts,Account Verification,0.23
Cost,Billing Accuracy,22.71
Cost,Keeping Promises - Billing,15.94
Cost,Contracts,11.11
Cost,Keeping Promises - Customer Service,9.42
Cost,All Competitors,4.83
Cost,Non-recurring Charges,3.86
Cost,First Contact Resolution,3.62
Cost,Transfer / Hold,3.62
Cost,Programming / Channel Line Up,3.38
Cost,Speed,3.38
Cost,Taxes / Surcharges,3.38
Cost,Contracts,2.66
Cost,Packages / Premium Channels,2.42
Cost,Email / Home Page,2.42
Cost,Keeping Promises - Appointments,2.17
Cost,Keeping Promises - Customer Call Back,2.17
Cost,Resolution Time,1.93
Cost,Ease of Ordering,1.93
Cost,Appointment Time / Window Convenience,1.69
Cost,Advertising and Collateral,1.45
Cost,Calling Plans,1.45
Cost,OneBill / Split Bill,1.21
Cost,Knowledge / Helpfulness,1.21
Cost,Bill Explanation,1.21
Cost,Collections,1.21
Cost,Unauthorized Charge / Changes,1.21
Cost,Regulatory,1.21
Cost,PPV / VOD Billing,0.97
Cost,Spec Needs / Usability,0.97
Cost,Promotions,0.97
Cost,Call Quality,0.72
Cost,Getting to Rep / Reaching the Right Person,0.72
Cost,Interactive Voice Response (IVR),0.72
Cost,Attitude,0.72
Cost,Technician,0.72
Cost,Supervisor Escalation,0.72
Cost,Legal - Other,0.72
Cost,Set Top Box,0.48
Cost,.Com,0.48
Cost,Bill Format,0.48
Cost,Solicitation,0.48
Cost,Modem / Router,0.48
Cost,Referrals / Word of Mouth,0.48
Cost,Pay Per View / VOD,0.48
Cost,Voice Mail,0.48
Cost,Up Sell,0.24
Cost,Equipment Delivery / Returns,0.24
Cost,Technical Support,0.24
Cost,Move / Transfer of Service,0.24
Cost,Home Monitor,0.24
Cost,Remote,0.24
Cost,Outsourcing,0.24
Cost,Picture Quality,0.24
Cost,Reliability / Out Of Service,0.24
Cost,Warranty,0.24
Cost,Instructions,0.24
Cost,Caller ID,0.24
Door to Door Agent,All Competitors,22.22
Door to Door Agent,Keeping Promises - Billing,22.22
Door to Door Agent,Taxes / Surcharges,11.11
Door to Door Agent,Keeping Promises - Appointments,11.11
Door to Door Agent,Up Sell,11.11
Door to Door Agent,Contracts,11.11
Door to Door Agent,Promotions,11.11
Door to Door Agent,Billing Accuracy,11.11
Ease of Ordering,Billing Accuracy,9.35
Ease of Ordering,.Com,8.41
Ease of Ordering,Cost,7.48
Ease of Ordering,Keeping Promises - Billing,7.48
Ease of Ordering,Transfer / Hold,6.54
Ease of Ordering,Getting to Rep / Reaching the Right Person,4.67
Ease of Ordering,Keeping Promises - Appointments,4.67
Ease of Ordering,Contracts,3.74
Ease of Ordering,Speed,3.74
Ease of Ordering,Email / Home Page,3.74
Ease of Ordering,Keeping Promises - Customer Service,3.74
Ease of Ordering,Keeping Promises - Customer Call Back,2.8
Ease of Ordering,Knowledge / Helpfulness,2.8
Ease of Ordering,First Contact Resolution,2.8
Ease of Ordering,Payment,2.8
Ease of Ordering,Equipment Delivery / Returns,2.8
Ease of Ordering,All Competitors,1.87
Ease of Ordering,Non-recurring Charges,1.87
Ease of Ordering,Move / Transfer of Service,1.87
Ease of Ordering,Appointment Time / Window Convenience,1.87
Ease of Ordering,Contracts,1.87
Ease of Ordering,Promotions,1.87
Ease of Ordering,Advertising and Collateral,1.87
Ease of Ordering,Home Monitor,1.87
Ease of Ordering,Set Top Box,1.87
Ease of Ordering,Remote,1.87
Ease of Ordering,Bill Format,0.93
Ease of Ordering,Technical Support,0.93
Ease of Ordering,OneBill / Split Bill,0.93
Ease of Ordering,Appt Verification,0.93
Ease of Ordering,Instructions,0.93
Ease of Ordering,Migration,0.93
Ease of Ordering,Legal - Other,0.93
Ease of Ordering,Resolution Time,0.93
Ease of Ordering,Modem / Router,0.93
Ease of Ordering,Technician,0.93
Ease of Ordering,Supervisor Escalation,0.93
Ease of Ordering,Solicitation,0.93
Ease of Ordering,Call Quality,0.93
Email / Home Page,Keeping Promises - Customer Service,4.19
Email / Home Page,Billing Accuracy,4.19
Email / Home Page,Keeping Promises - Billing,3.23
Email / Home Page,Transfer / Hold,3.23
Email / Home Page,Cost,3.23
Email / Home Page,Resolution Time,2.9
Email / Home Page,Regulatory,2.58
Email / Home Page,Keeping Promises - Appointments,2.58
Email / Home Page,Contracts,2.58
Email / Home Page,Getting to Rep / Reaching the Right Person,2.26
Email / Home Page,First Contact Resolution,2.26
Email / Home Page,All Competitors,2.26
Email / Home Page,Payment,2.26
Email / Home Page,Technical Support,1.94
Email / Home Page,Programming / Channel Line Up,1.94
Email / Home Page,Account Verification,1.29
Email / Home Page,Ease of Ordering,1.29
Email / Home Page,Voice Mail,0.97
Email / Home Page,Keeping Promises - Customer Call Back,0.97
Email / Home Page,Appointment Time / Window Convenience,0.97
Email / Home Page,Promotions,0.97
Email / Home Page,Contracts,0.97
Email / Home Page,Call Quality,0.97
Email / Home Page,Advertising and Collateral,0.65
Email / Home Page,Attitude,0.65
Email / Home Page,Outsourcing,0.65
Email / Home Page,Non-recurring Charges,0.65
Email / Home Page,PPV / VOD Billing,0.65
Email / Home Page,Spec Needs / Usability,0.65
Email / Home Page,Equipment Delivery / Returns,0.65
Email / Home Page,Reliability / Out Of Service,0.65
Email / Home Page,Packages / Premium Channels,0.65
Email / Home Page,Picture Quality,0.65
Email / Home Page,Unauthorized Charge / Changes,0.65
Email / Home Page,Solicitation,0.32
Email / Home Page,Modem / Router,0.32
Email / Home Page,Speed,0.32
Email / Home Page,Pay Per View / VOD,0.32
Email / Home Page,Set Top Box,0.32
Email / Home Page,.Com,0.32
Email / Home Page,Move / Transfer of Service,0.32
Email / Home Page,One Visit Resolution,0.32
Email / Home Page,Technician,0.32
Email / Home Page,Equipment Delivery / Returns,0.32
Email / Home Page,Business Hours,0.32
Email / Home Page,Taxes / Surcharges,0.32
Email / Home Page,Phone - General,0.32
Email / Home Page,Knowledge / Helpfulness,0.32
Email / Home Page,Supervisor Escalation,0.32
Email / Home Page,Legal - Other,0.32
Email / Home Page,Collections,0.32
Equipment Delivery / Returns,Billing Accuracy,50
Equipment Delivery / Returns,Equipment Delivery / Returns,31.25
Equipment Delivery / Returns,Equipment Delivery / Returns,22.99
Equipment Delivery / Returns,Modem / Router,20.69
Equipment Delivery / Returns,Billing Accuracy,18.39
Equipment Delivery / Returns,Set Top Box,17.19
Equipment Delivery / Returns,Set Top Box,10.34
Equipment Delivery / Returns,Modem / Router,9.38
Equipment Delivery / Returns,All Competitors,7.81
Equipment Delivery / Returns,Contracts,6.25
Equipment Delivery / Returns,Keeping Promises - Customer Service,6.25
Equipment Delivery / Returns,Keeping Promises - Billing,4.69
Equipment Delivery / Returns,Remote,4.6
