CAT_ID,CATEGORY,L2_CATEGORY,CATEGORY_GROUP,OSAT,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,PROMOTER_DOCUMENTS,NEUTRAL_DOCUMENTS,DET_CAT_INF_SCORE,PRO_CAT_INF_SCORE
81645,Ease of Checkout,Check-Out,Operations - Fast,7.946229452,34549,6511,18349,9689,0.001042761,3.90305E-06
136067,Business Hours,Store Organization & Convenience,Operations - Fast,7.61644759,14570,3494,7216,3860,3.07724E-05,8.45374E-06
330225,Samples and Testers,Product Selection,Operations - Merchandise,8.764899671,6522,504,4540,1478,3.02501E-07,1.7144E-05
135819,Room to Shop,Clear & Uncluttered,Operations - Clean,7.900490863,157632,29690,76216,51726,0.000461318,0.001406538
135864,Toilets,Restroom Cleanliness,Operations - Clean,7.51639833,1653,433,687,533,1.283E-05,2.49541E-06
135973,On Display,Visually Appealing,Operations - Clean,7.896445177,64631,12140,31931,20560,0.000135129,7.52894E-05
81653,Receipt & Payment,Check-Out,Operations - Fast,6.260869565,12881,5660,4087,3134,0.000163821,5.42887E-06
136276,Features/Functionality,Product Selection,Operations - Merchandise,8.120648128,13614,2242,7647,3725,4.2487E-05,1.33254E-06
135952,Renovations,Store Cleanliness,Operations - Clean,7.65013541,5659,1317,2434,1908,4.19693E-05,4.01207E-06
135979,Staff Appearance,Visually Appealing,Operations - Clean,7.459692499,18725,4977,8177,5571,4.13235E-05,1.68158E-07
136216,As Advertised,Finding Items,Operations - Merchandise,7.232492161,6616,1983,2723,1910,3.00402E-05,1.46269E-05
135857,Sinks,Restroom Cleanliness,Operations - Clean,7.630434783,590,145,257,188,3.89018E-06,3.5182E-06
135837,Floor,Restroom Cleanliness,Operations - Clean,7.375862069,1445,426,593,426,2.70663E-05,2.525E-06
135844,Restrooms General,Restroom Cleanliness,Operations - Clean,8.01840114,44164,7848,22307,14009,0.000150352,1.22059E-06
135967,In-Store Advertising,Visually Appealing,Operations - Clean,7.755963303,542,117,255,170,9.4501E-07,1.98547E-06
135898,Noise,Store Atmosphere,Operations - Clean,7.568890163,13250,3240,6028,3982,5.44901E-05,7.17158E-05
135941,Condition,Store Cleanliness,Operations - Clean,7.693027211,4679,1124,2372,1183,0.00023988,3.94689E-07
81663,Checkout Wait Time,Check-Out,Operations - Fast,7.603048465,274205,62889,129251,82065,0.010555212,0.001364879
136350,Fees,Returns & Refunds,Operations - Price/Value,7.419708029,767,212,365,190,1.04918E-06,2.73918E-07
136097,Store Quality,Store Organization & Convenience,Operations - Fast,8.412453464,319345,44696,208132,66517,0.002717955,7.62134E-05
136036,Speed of Service,In & Out,Operations - Fast,7.595075025,266221,63185,125190,77846,0.002286067,0.001067663
136331,Financing,Lowest Prices,Operations - Price/Value,8.056379822,7514,1257,4472,1785,4.63906E-06,6.78787E-06
329884,In-Store Navigation,Store Organization & Convenience,Operations - Fast,8.017767401,72582,12288,37554,22740,0.00026866,0.000172473
136318,Coupons,Deals,Operations - Price/Value,7.176086551,32834,8897,15035,8902,4.92679E-05,1.2489E-05
136043,Store Pickup,In & Out,Operations - Fast,7.011840325,2851,915,1167,769,5.67402E-05,2.53465E-06
135931,Cleanliness,Store Cleanliness,Operations - Clean,7.89936598,139786,28719,73203,37864,0.000723649,1.30147E-05
